Route_ID,Route_Name,Action_Taken,New_Route_ID,Route_KM,OSRM_Duration_S,Cycle_Time_Min,Sharp_Turns,Junction_Penalty_Min,Fleet_Required,Total_Minibuses_Existing,Headway_Min,Population_Served,HV_POI_Count,Residential_Score,Commercial_Score,Composite_Demand_Score,Old_Wait_Time,New_Wait_Time,Overlap_Metric,Geo_Source,Fleet_Imputed,View_Map
R0415,JANIPUR HIGH COURT ↔ GANGYAL,RETAINED_AS_FEEDER,FDR-092,11.179,1034.6,48.9,8,4.0,4,2.0,15,84993,5,7602.92,313.09,7916.01,25,15,0.1215,OSRM,True,"<a href=""route_maps/FDR-092.html"">View Map</a>"
R0416,JANIPUR HOUSING COLONY ↔ BARI BRAHAMANA 4 NO FACTORY,RETAINED_AS_FEEDER,FDR-059,20.91,1485.3,66.1,8,4.0,5,3.0,15,168552,15,8060.83,645.62,8706.45,23,15,0.2154,OSRM,True,"<a href=""route_maps/FDR-059.html"">View Map</a>"
R0418,JANIPUR HOUSING COLONY ↔ TRIKUTA NAGAR,RETAINED_AS_FEEDER,FDR-035,10.731,762.8,43.0,12,6.0,3,2.0,15,89111,15,8304.07,1188.15,9492.22,22,15,0.2448,OSRM,True,"<a href=""route_maps/FDR-035.html"">View Map</a>"
R0420,JANIPUR HOUSING COLONY ↔ BARI BRAH  SMAILPUR,RETAINED_AS_FEEDER,FDR-130,31.019,2108.8,94.6,12,6.0,7,5.0,15,201429,13,6493.73,394.92,6888.65,19,15,0.1684,OSRM,True,"<a href=""route_maps/FDR-130.html"">View Map</a>"
R0424,JANIPUR HOUSING COLONY ↔ BARI BRAH  SMAILPUR,RETAINED_AS_FEEDER,FDR-128,30.782,2046.0,89.9,10,5.0,6,5.0,15,201250,13,6537.91,397.96,6935.87,18,15,0.1738,OSRM,True,"<a href=""route_maps/FDR-128.html"">View Map</a>"
R0427,JANIPUR LAKKAR MANDI ↔ CHATHA,RETAINED_AS_FEEDER,FDR-142,18.2,1299.4,59.0,8,4.0,4,3.0,15,112511,8,6181.92,398.35,6580.27,20,15,0.2039,OSRM,True,"<a href=""route_maps/FDR-142.html"">View Map</a>"
R0428,JANIPUR TO ↔ MAKWAL,RETAINED_AS_FEEDER,FDR-334,42.755,3029.5,125.3,8,4.0,9,6.0,15,67590,6,1580.87,122.79,1703.66,21,15,0.0622,OSRM,True,"<a href=""route_maps/FDR-334.html"">View Map</a>"
R0429,J D A COMPLEX NEW PLOT ↔ SUJWAN,RETAINED_AS_FEEDER,FDR-187,41.962,2562.0,109.7,10,5.0,8,6.0,15,225166,18,5365.95,393.21,5759.16,19,15,0.0725,OSRM,True,"<a href=""route_maps/FDR-187.html"">View Map</a>"
R0431,JDA COMPLEX NEW PLOT ↔ BISHNAH,RETAINED_AS_FEEDER,FDR-217,25.94,2281.8,105.9,16,8.0,8,4.0,15,133699,7,5154.16,269.85,5424.01,27,15,0.0621,OSRM,True,"<a href=""route_maps/FDR-217.html"">View Map</a>"
R0437,KERAN ↔ NARI KHAPPAR,RETAINED_AS_FEEDER,FDR-304,33.535,2321.8,102.8,12,6.0,7,5.0,15,86145,4,2568.81,119.28,2688.09,21,15,0.0433,OSRM,True,"<a href=""route_maps/FDR-304.html"">View Map</a>"
R0440,KHANDWAL CHATHA PIND ↔ SATWARI,RETAINED_AS_FEEDER,FDR-314,4.518,513.6,20.8,1,0.5,2,1.0,15,10379,0,2297.26,0.0,2297.26,21,15,0.0422,OSRM,True,"<a href=""route_maps/FDR-314.html"">View Map</a>"
R0441,KOTLI HARI SINGH ↔ AKHNOOR,RETAINED_AS_FEEDER,FDR-323,57.031,3748.1,159.8,14,7.0,11,8.0,15,104581,8,1833.76,140.27,1974.03,20,15,0.0283,OSRM,True,"<a href=""route_maps/FDR-323.html"">View Map</a>"
R0442,KUJWANI ↔ PHINDER,UPGRADED_TO_TRUNK,TRK-003,14.664,1445.7,70.4,13,6.5,15,2.0,5,44896,0,3061.65,0.0,3061.65,36,5,0.0258,OSRM,True,"<a href=""route_maps/TRK-003.html"">View Map</a>"
